
> pw-manager@0.1.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.0.104:3000

✓ Starting...
✓ Ready in 781ms
 POST /api/passwords 200 in 184ms (compile: 151ms, render: 32ms)
 GET / 200 in 40ms (compile: 3ms, render: 37ms)
 GET /api/passwords 200 in 7ms (compile: 2ms, render: 5ms)
 POST /api/passwords 200 in 8ms (compile: 2ms, render: 5ms)
 GET /api/passwords 200 in 6ms (compile: 3ms, render: 4ms)
 GET / 200 in 33ms (compile: 4ms, render: 29ms)
 GET /api/passwords 200 in 10ms (compile: 3ms, render: 7ms)
 POST /api/passwords 200 in 9ms (compile: 3ms, render: 6ms)
 GET /api/passwords 200 in 8ms (compile: 4ms, render: 4ms)
 POST /api/passwords 200 in 7ms (compile: 2ms, render: 4ms)
 GET /api/passwords 200 in 6ms (compile: 2ms, render: 4ms)
 GET / 200 in 36ms (compile: 3ms, render: 33ms)
 GET /api/passwords 200 in 7ms (compile: 3ms, render: 5ms)
 POST /api/passwords 200 in 8ms (compile: 3ms, render: 5ms)
 GET /api/passwords 200 in 7ms (compile: 3ms, render: 4ms)
 GET / 200 in 48ms (compile: 4ms, render: 45ms)
 GET /api/passwords 200 in 13ms (compile: 4ms, render: 9ms)
 POST /api/passwords 200 in 13ms (compile: 5ms, render: 8ms)
 GET /api/passwords 200 in 11ms (compile: 4ms, render: 7ms)
 GET / 200 in 39ms (compile: 4ms, render: 36ms)
 GET /api/passwords 200 in 9ms (compile: 4ms, render: 5ms)
 POST /api/passwords 200 in 11ms (compile: 4ms, render: 8ms)
 GET /api/passwords 200 in 12ms (compile: 4ms, render: 9ms)
 DELETE /api/passwords 200 in 11ms (compile: 4ms, render: 7ms)
 GET /api/passwords 200 in 10ms (compile: 4ms, render: 5ms)
 GET / 200 in 30ms (compile: 3ms, render: 26ms)
 GET / 200 in 70ms (compile: 48ms, render: 22ms)
 GET / 200 in 30ms (compile: 3ms, render: 27ms)
 GET /api/passwords 200 in 7ms (compile: 2ms, render: 4ms)
 GET / 200 in 28ms (compile: 3ms, render: 25ms)
 GET /api/passwords 200 in 5ms (compile: 1940µs, render: 3ms)
 POST /api/passwords 200 in 7ms (compile: 1960µs, render: 5ms)
 GET /api/passwords 200 in 5ms (compile: 1747µs, render: 3ms)
 GET / 200 in 26ms (compile: 3ms, render: 23ms)
 GET /api/passwords 200 in 7ms (compile: 2ms, render: 5ms)
 POST /api/passwords 200 in 6ms (compile: 2ms, render: 4ms)
 GET /api/passwords 200 in 5ms (compile: 2ms, render: 3ms)
 POST /api/passwords 200 in 6ms (compile: 1973µs, render: 4ms)
 GET /api/passwords 200 in 6ms (compile: 2ms, render: 4ms)
 GET / 200 in 27ms (compile: 3ms, render: 24ms)
 GET /api/passwords 200 in 6ms (compile: 2ms, render: 4ms)
 POST /api/passwords 200 in 7ms (compile: 2ms, render: 5ms)
 GET /api/passwords 200 in 7ms (compile: 2ms, render: 5ms)
 GET / 200 in 34ms (compile: 5ms, render: 30ms)
 GET /api/passwords 200 in 6ms (compile: 2ms, render: 3ms)
 POST /api/passwords 200 in 6ms (compile: 2ms, render: 4ms)
 GET /api/passwords 200 in 5ms (compile: 1726µs, render: 4ms)
 GET / 200 in 27ms (compile: 3ms, render: 25ms)
 GET /api/passwords 200 in 6ms (compile: 1926µs, render: 4ms)
 POST /api/passwords 200 in 10ms (compile: 2ms, render: 8ms)
 GET /api/passwords 200 in 7ms (compile: 3ms, render: 5ms)
 DELETE /api/passwords 200 in 6ms (compile: 2ms, render: 4ms)
 GET /api/passwords 200 in 7ms (compile: 2ms, render: 4ms)
 GET / 200 in 49ms (compile: 5ms, render: 44ms)
 GET /api/passwords 200 in 21ms (compile: 11ms, render: 10ms)
 POST /api/passwords 200 in 10ms (compile: 4ms, render: 6ms)
 GET /api/passwords 200 in 7ms (compile: 4ms, render: 4ms)
 DELETE /api/passwords 200 in 7ms (compile: 2ms, render: 5ms)
 GET /api/passwords 200 in 8ms (compile: 2ms, render: 5ms)
 GET / 200 in 121ms (compile: 91ms, render: 30ms)
 GET / 200 in 35ms (compile: 3ms, render: 32ms)
 GET / 200 in 44ms (compile: 4ms, render: 41ms)
 GET /api/passwords 200 in 76ms (compile: 66ms, render: 10ms)
 GET / 200 in 57ms (compile: 3ms, render: 55ms)
 GET /api/passwords 200 in 9ms (compile: 4ms, render: 5ms)
 POST /api/passwords 200 in 10ms (compile: 2ms, render: 8ms)
 GET /api/passwords 200 in 6ms (compile: 2ms, render: 4ms)
 GET / 200 in 28ms (compile: 3ms, render: 25ms)
 GET /api/passwords 200 in 6ms (compile: 1879µs, render: 4ms)
 POST /api/passwords 200 in 11ms (compile: 4ms, render: 8ms)
 GET /api/passwords 200 in 12ms (compile: 2ms, render: 10ms)
 POST /api/passwords 200 in 12ms (compile: 4ms, render: 8ms)
 GET /api/passwords 200 in 14ms (compile: 4ms, render: 10ms)
 GET / 200 in 37ms (compile: 4ms, render: 33ms)
 GET /api/passwords 200 in 8ms (compile: 3ms, render: 5ms)
 POST /api/passwords 200 in 7ms (compile: 2ms, render: 5ms)
 GET /api/passwords 200 in 6ms (compile: 2ms, render: 4ms)
 GET / 200 in 28ms (compile: 2ms, render: 26ms)
 GET /api/passwords 200 in 5ms (compile: 1641µs, render: 3ms)
 POST /api/passwords 200 in 7ms (compile: 3ms, render: 4ms)
 GET /api/passwords 200 in 5ms (compile: 2ms, render: 3ms)
 GET / 200 in 31ms (compile: 2ms, render: 29ms)
 GET /api/passwords 200 in 6ms (compile: 2ms, render: 3ms)
 POST /api/passwords 200 in 7ms (compile: 2ms, render: 5ms)
 GET /api/passwords 200 in 6ms (compile: 2ms, render: 4ms)
 DELETE /api/passwords 200 in 5ms (compile: 1496µs, render: 4ms)
 GET /api/passwords 200 in 6ms (compile: 2ms, render: 3ms)
✓ Compiled in 111ms
 GET / 200 in 238ms (compile: 147ms, render: 92ms)
 GET / 200 in 35ms (compile: 5ms, render: 30ms)
 GET / 200 in 36ms (compile: 4ms, render: 32ms)
 GET /api/passwords 200 in 10ms (compile: 5ms, render: 5ms)
 GET / 200 in 33ms (compile: 3ms, render: 30ms)
 GET /api/passwords 200 in 9ms (compile: 3ms, render: 5ms)
 POST /api/passwords 409 in 9ms (compile: 2ms, render: 6ms)
 GET / 200 in 50ms (compile: 3ms, render: 47ms)
 GET /api/passwords 200 in 11ms (compile: 3ms, render: 8ms)
 POST /api/passwords 409 in 9ms (compile: 2ms, render: 7ms)
 POST /api/passwords 409 in 6ms (compile: 2ms, render: 4ms)
 GET / 200 in 30ms (compile: 3ms, render: 26ms)
 GET /api/passwords 200 in 9ms (compile: 2ms, render: 7ms)
 POST /api/passwords 409 in 7ms (compile: 3ms, render: 4ms)
 GET / 200 in 32ms (compile: 3ms, render: 29ms)
 GET /api/passwords 200 in 8ms (compile: 3ms, render: 6ms)
 POST /api/passwords 409 in 7ms (compile: 2ms, render: 5ms)
 GET / 200 in 27ms (compile: 3ms, render: 24ms)
 GET /api/passwords 200 in 7ms (compile: 1981µs, render: 5ms)
 POST /api/passwords 200 in 9ms (compile: 3ms, render: 6ms)
 GET /api/passwords 200 in 6ms (compile: 1886µs, render: 4ms)
 DELETE /api/passwords 200 in 7ms (compile: 2ms, render: 4ms)
 GET /api/passwords 200 in 7ms (compile: 2ms, render: 4ms)
 GET / 200 in 94ms (compile: 67ms, render: 27ms)
 GET / 200 in 25ms (compile: 3ms, render: 22ms)
 GET / 200 in 25ms (compile: 3ms, render: 22ms)
 GET / 200 in 76ms (compile: 54ms, render: 22ms)
 GET / 200 in 30ms (compile: 3ms, render: 27ms)
 GET /api/passwords 200 in 8ms (compile: 3ms, render: 5ms)
 GET / 200 in 37ms (compile: 3ms, render: 34ms)
 GET /api/passwords 200 in 6ms (compile: 1895µs, render: 4ms)
 POST /api/passwords 200 in 7ms (compile: 2ms, render: 4ms)
 GET /api/passwords 200 in 5ms (compile: 1816µs, render: 4ms)
 GET / 200 in 30ms (compile: 3ms, render: 26ms)
 GET /api/passwords 200 in 6ms (compile: 1863µs, render: 5ms)
 POST /api/passwords 200 in 7ms (compile: 1805µs, render: 5ms)
 GET /api/passwords 200 in 6ms (compile: 2ms, render: 4ms)
 POST /api/passwords 200 in 6ms (compile: 1961µs, render: 4ms)
 GET /api/passwords 200 in 5ms (compile: 1897µs, render: 3ms)
 GET / 200 in 30ms (compile: 1957µs, render: 28ms)
 GET /api/passwords 200 in 6ms (compile: 2ms, render: 4ms)
 POST /api/passwords 200 in 8ms (compile: 3ms, render: 5ms)
 GET /api/passwords 200 in 8ms (compile: 2ms, render: 6ms)
 GET / 200 in 33ms (compile: 3ms, render: 30ms)
 GET /api/passwords 200 in 6ms (compile: 2ms, render: 4ms)
 POST /api/passwords 200 in 7ms (compile: 2ms, render: 4ms)
 GET /api/passwords 200 in 6ms (compile: 2ms, render: 3ms)
 GET / 200 in 32ms (compile: 3ms, render: 29ms)
 GET /api/passwords 200 in 6ms (compile: 2ms, render: 4ms)
 POST /api/passwords 200 in 8ms (compile: 3ms, render: 4ms)
 GET /api/passwords 200 in 7ms (compile: 3ms, render: 4ms)
 DELETE /api/passwords 200 in 10ms (compile: 3ms, render: 7ms)
 GET /api/passwords 200 in 8ms (compile: 3ms, render: 5ms)
 GET / 200 in 47ms (compile: 13ms, render: 33ms)
 GET /api/passwords 200 in 8ms (compile: 2ms, render: 6ms)
 POST /api/passwords 200 in 7ms (compile: 2ms, render: 5ms)
 GET /api/passwords 200 in 6ms (compile: 2ms, render: 4ms)
 POST /api/passwords 409 in 7ms (compile: 2ms, render: 5ms)
 GET / 200 in 56ms (compile: 7ms, render: 50ms)
 GET /api/passwords 200 in 18ms (compile: 5ms, render: 12ms)
 POST /api/passwords 409 in 10ms (compile: 3ms, render: 7ms)
✓ Compiled in 125ms
 GET / 200 in 283ms (compile: 184ms, render: 99ms)
 GET / 200 in 85ms (compile: 3ms, render: 82ms)
 GET / 200 in 79ms (compile: 3ms, render: 76ms)
 GET / 200 in 79ms (compile: 4ms, render: 75ms)
 GET / 200 in 72ms (compile: 3ms, render: 69ms)
 GET / 200 in 55ms (compile: 3ms, render: 52ms)
 GET / 200 in 35ms (compile: 3ms, render: 32ms)
 GET / 200 in 19ms (compile: 3ms, render: 17ms)
✓ Compiled in 119ms
 GET / 200 in 198ms (compile: 124ms, render: 74ms)
 GET / 200 in 28ms (compile: 3ms, render: 25ms)
 GET / 200 in 30ms (compile: 3ms, render: 28ms)
 GET / 200 in 33ms (compile: 5ms, render: 28ms)
 GET / 200 in 30ms (compile: 3ms, render: 27ms)
 GET / 200 in 32ms (compile: 3ms, render: 30ms)
 GET / 200 in 29ms (compile: 3ms, render: 26ms)
 GET / 200 in 44ms (compile: 3ms, render: 41ms)
 GET / 200 in 26ms (compile: 3ms, render: 24ms)
 GET / 200 in 31ms (compile: 3ms, render: 28ms)
 GET / 200 in 23ms (compile: 3ms, render: 21ms)
 GET / 200 in 27ms (compile: 2ms, render: 24ms)
 GET / 200 in 27ms (compile: 3ms, render: 25ms)
 GET / 200 in 28ms (compile: 2ms, render: 25ms)
 GET / 200 in 31ms (compile: 6ms, render: 25ms)
 GET / 200 in 26ms (compile: 3ms, render: 24ms)
